filename,text,status
LPD_001_t1_l1.png,Baju itu baru dibeli oleh emak.,ok
LPD_002_t2_l1.png,Burung itu berada di dalam sangkar. Sangkar,ok
LPD_002_t2_l2.png,baru itu milik bapa.,ok
LPD_003_t3_l1.png,Saya suka bermain basikal pada waktu lapang. Basikal itu,ok
LPD_003_t3_l2.png,dibeli oleh ayah saya. Roda basikal saya berwarna,ok
LPD_003_t3_l3.png,hijau dan putih.,ok
LPD_004_t1_l1.png,Baju itu baru dibeli oleh emak.,ok
LPD_005_t2_l1.png,Burung itu berada di dalam sangkar. Sangkar,ok
LPD_005_t2_l2.png,baru itu milik bapa.,ok
LPD_006_t3_l1.png,Saya suka bermain basikal pada waktu lapang.,ok
LPD_006_t3_l2.png,Basikal itu dibeli oleh ayah saya. Roda basikal,ok
LPD_006_t3_l3.png,saya berwarna hijau.,ok
LPD_007_t1_l1.png,Baju itu baru dibeli oleh emak.,ok
LPD_008_t2_l1.png,Burung itu berada di dalam sangkar. Sangkar,ok
LPD_008_t2_l2.png,baru itu milik bapa.,ok
LPD_009_t3_l1.png,Saya suka bermain basikal pada waktu,ok
LPD_009_t3_l2.png,lapang. Basikal itu dibeli oleh ayah saya. Roda basikal,ok
LPD_009_t3_l3.png,saya berwarna hijau dan putih.,ok
LPD_010_t1_l1.png,Baju itu baru dibeli oleh emak.,ok
LPD_011_t2_l1.png,Burung itu berada di dalam sangkar. Sangkar baru itu milik,ok
LPD_011_t2_l2.png,bapa.,ok
LPD_012_t3_l1.png,Saya suka bermain basikal pada waktu lapang. Basikal itu dibeli,ok
LPD_012_t3_l2.png,oleh ayah saya. Roda basikal saya berwarna hijau dan putih.,ok
LPD_013_t1_l1.png,Baju itu baru dibeli oleh emak.,ok
LPD_014_t2_l1.png,Burung itu berada di dalam sangkar.,ok
LPD_014_t2_l2.png,Sangkar baru itu milik bapa.,ok
LPD_015_t3_l1.png,Saya suka bermain basikal pada waktu lapang.,ok
LPD_015_t3_l2.png,Basikal itu dibeli oleh ayah saya. Roda,ok
LPD_015_t3_l3.png,basikal saya berwarna hijau dan putih.,ok
LPD_016_t1_l1.png,Baju itu baru dibeli oleh emak.,ok
LPD_017_t2_l1.png,Burung itu berada di dalam sangkar.,ok
LPD_017_t2_l2.png,Sangkar baru itu milik.,ok
LPD_018_t3_l1.png,Saya suka bermain basikal pada waktu,ok
LPD_018_t3_l2.png,lapang. Basikal itu dibeli oleh ayah saya.,ok
LPD_018_t3_l3.png,Roda basikal saya berwarna hijau dan,ok
LPD_018_t3_l4.png,putih.,ok
LPD_019_t1_l1.png,Baju itu baru dibeli oleh emak.,ok
LPD_020_t2_l1.png,Burung itu berada di dalam sangkar. Sangkar baru itu milik,ok
LPD_020_t2_l2.png,bapa.,ok
LPD_021_t3_l1.png,Saya suka bermain basikal pada waktu lapang. Basikal itu dibeli,ok
LPD_021_t3_l2.png,oleh ayah saya. Roda basikal saya berwarna hijau dan putih.,ok
LPD_022_t1_l1.png,Baju itu baru dibeli oleh emak.,ok
LPD_023_t2_l1.png,Burung itu berada di dalam sangkar. Sangkar baru itu milik,ok
LPD_023_t2_l2.png,bapa.,ok
LPD_024_t3_l1.png,Saya suka bermain basikal pada waktu lapang. Basikal itu,ok
LPD_024_t3_l2.png,dibeli oleh ayah saya. Roda basikal saya berwarna hijau dan putih,ok
LPD_025_t1_l1.png,Baju itu baru dibeli oleh emak.,ok
